inspection_id,production_date,inspection_date,product_code,shift,operator_id,inspector_id,factory_location,defect_count,quality_score,defect_type,defect_severity,pred_defect_prob,predicted_high_risk,has_defect_actual
INSP-0004,2024-06-03,2024-06-03 16:08:29,PRD-04,afternoon,OP-0033,INS-5961,Factory-X0,0,94.3,0,0.0,0.214906228070606,0,0
INSP-0004,2024-06-03,2024-06-03 16:08:29,PRD-04,afternoon,OP-0033,INS-5961,Factory-X0,0,94.3,0,0.0,0.1656563259558159,0,0
INSP-0004,2024-06-03,2024-06-03 16:08:29,PRD-04,afternoon,OP-0033,INS-5961,Factory-X0,0,94.3,0,0.0,0.1656563259558159,0,0
INSP-0005,2024-06-04,2024-06-04 08:42:14,PRD-02,morning,OP-5691,INS-9052,Factory-G9,2,77.8,marking,2.0,0.0925153909755905,0,1
INSP-0005,2024-06-04,2024-06-04 08:42:14,PRD-02,morning,OP-5691,INS-9052,Factory-G9,2,77.8,marking,2.0,0.0925153909755905,0,1
INSP-0005,2024-06-04,2024-06-04 08:42:14,PRD-02,morning,OP-5691,INS-9052,Factory-G9,2,77.8,marking,2.0,0.1272545114459562,0,1
INSP-0005,2024-06-04,2024-06-04 08:42:14,PRD-02,morning,OP-5691,INS-9052,Factory-G9,2,77.8,marking,2.0,0.1272545114459562,0,1
INSP-0006,2024-06-05,2024-06-05 15:17:05,PRD-03,afternoon,OP-7777,INS-2178,Factory-A2,7,61.4,misalignment,3.0,0.0811432844455448,0,1
INSP-0006,2024-06-05,2024-06-05 15:17:05,PRD-03,afternoon,OP-7777,INS-2178,Factory-A2,7,61.4,misalignment,3.0,0.0811432844455448,0,1
INSP-0006,2024-06-05,2024-06-05 15:17:05,PRD-03,afternoon,OP-7777,INS-2178,Factory-A2,7,61.4,misalignment,3.0,0.278073286478451,0,1
INSP-0006,2024-06-05,2024-06-05 15:17:05,PRD-03,afternoon,OP-7777,INS-2178,Factory-A2,7,61.4,misalignment,3.0,0.278073286478451,0,1
INSP-0007,2024-06-06,2024-06-07 01:02:39,PRD-02,night,OP-0033,INS-0342,Factory-X0,5,59.2,contamination,3.0,0.0562011254167484,0,1
INSP-0007,2024-06-06,2024-06-07 01:02:39,PRD-02,night,OP-0033,INS-0342,Factory-X0,5,59.2,contamination,3.0,0.0562011254167484,0,1
INSP-0007,2024-06-06,2024-06-07 01:02:39,PRD-02,night,OP-0033,INS-0342,Factory-X0,5,59.2,contamination,3.0,0.0309725636438281,0,1
INSP-0007,2024-06-06,2024-06-07 01:02:39,PRD-02,night,OP-0033,INS-0342,Factory-X0,5,59.2,contamination,3.0,0.0309725636438281,0,1
INSP-0008,2024-06-07,2024-06-07 10:40:15,PRD-04,morning,OP-4178,INS-2231,Factory-Y7,3,69.8,mislabel,2.0,0.0544227431652979,0,1
INSP-0008,2024-06-07,2024-06-07 10:40:15,PRD-04,morning,OP-4178,INS-2231,Factory-Y7,3,69.8,mislabel,2.0,0.0544227431652979,0,1
INSP-0008,2024-06-07,2024-06-07 10:40:15,PRD-04,morning,OP-4178,INS-2231,Factory-Y7,3,69.8,mislabel,2.0,0.0953101149400658,0,1
INSP-0008,2024-06-07,2024-06-07 10:40:15,PRD-04,morning,OP-4178,INS-2231,Factory-Y7,3,69.8,mislabel,2.0,0.0953101149400658,0,1
INSP-0009,2024-06-08,2024-06-08 14:55:21,PRD-01,afternoon,OP-2517,INS-9052,Factory-A2,0,100.0,0,0.0,0.1779797992042711,0,0
INSP-0009,2024-06-08,2024-06-08 14:55:21,PRD-01,afternoon,OP-2517,INS-9052,Factory-A2,0,100.0,0,0.0,0.1779797992042711,0,0
INSP-0009,2024-06-08,2024-06-08 14:55:21,PRD-01,afternoon,OP-2517,INS-9052,Factory-A2,0,100.0,0,0.0,0.1190141539060349,0,0
INSP-0009,2024-06-08,2024-06-08 14:55:21,PRD-01,afternoon,OP-2517,INS-9052,Factory-A2,0,100.0,0,0.0,0.1190141539060349,0,0
INSP-0010,2024-06-09,2024-06-10 00:31:46,PRD-02,night,OP-2517,INS-0342,Factory-E1,17,3.2,major_crack,4.0,0.0366380313048378,0,1
INSP-0010,2024-06-09,2024-06-10 00:31:46,PRD-02,night,OP-2517,INS-0342,Factory-E1,17,3.2,major_crack,4.0,0.0366380313048378,0,1
INSP-0010,2024-06-09,2024-06-10 00:31:46,PRD-02,night,OP-2517,INS-0342,Factory-E1,17,3.2,major_crack,4.0,0.3704435617092707,0,1
INSP-0010,2024-06-09,2024-06-10 00:31:46,PRD-02,night,OP-2517,INS-0342,Factory-E1,17,3.2,major_crack,4.0,0.3704435617092707,0,1
INSP-0011,2024-06-10,2024-06-10 16:11:34,PRD-03,afternoon,OP-0033,INS-2178,Factory-G9,0,93.8,0,0.0,0.2390236691403827,0,0
INSP-0011,2024-06-10,2024-06-10 16:11:34,PRD-03,afternoon,OP-0033,INS-2178,Factory-G9,0,93.8,0,0.0,0.2390236691403827,0,0
INSP-0011,2024-06-10,2024-06-10 16:11:34,PRD-03,afternoon,OP-0033,INS-2178,Factory-G9,0,93.8,0,0.0,0.0692672257737171,0,0
INSP-0011,2024-06-10,2024-06-10 16:11:34,PRD-03,afternoon,OP-0033,INS-2178,Factory-G9,0,93.8,0,0.0,0.0692672257737171,0,0
INSP-0012,2024-06-11,2024-06-11 11:23:47,PRD-04,morning,OP-5691,INS-2231,Factory-Y7,0,85.0,0,0.0,0.0645376522386862,0,0
INSP-0012,2024-06-11,2024-06-11 11:23:47,PRD-04,morning,OP-5691,INS-2231,Factory-Y7,0,85.0,0,0.0,0.0645376522386862,0,0
INSP-0012,2024-06-11,2024-06-11 11:23:47,PRD-04,morning,OP-5691,INS-2231,Factory-Y7,0,85.0,0,0.0,0.0485378645121479,0,0
INSP-0012,2024-06-11,2024-06-11 11:23:47,PRD-04,morning,OP-5691,INS-2231,Factory-Y7,0,85.0,0,0.0,0.0485378645121479,0,0
INSP-0013,2024-06-12,2024-06-12 15:03:58,PRD-01,afternoon,OP-2186,INS-9052,Factory-G9,1,76.4,dent,2.0,0.2968319632423495,0,1
INSP-0013,2024-06-12,2024-06-12 15:03:58,PRD-01,afternoon,OP-2186,INS-9052,Factory-G9,1,76.4,dent,2.0,0.2968319632423495,0,1
INSP-0013,2024-06-12,2024-06-12 15:03:58,PRD-01,afternoon,OP-2186,INS-9052,Factory-G9,1,76.4,dent,2.0,0.0682889296797754,0,1
INSP-0013,2024-06-12,2024-06-12 15:03:58,PRD-01,afternoon,OP-2186,INS-9052,Factory-G9,1,76.4,dent,2.0,0.0682889296797754,0,1
INSP-0014,2024-06-13,2024-06-14 02:12:38,PRD-02,night,OP-2517,INS-0342,Factory-Z3,15,41.9,cracking,4.0,0.0388199283476008,0,1
INSP-0014,2024-06-13,2024-06-14 02:12:38,PRD-02,night,OP-2517,INS-0342,Factory-Z3,15,41.9,cracking,4.0,0.0388199283476008,0,1
INSP-0014,2024-06-13,2024-06-14 02:12:38,PRD-02,night,OP-2517,INS-0342,Factory-Z3,15,41.9,cracking,4.0,0.0961067274459383,0,1
INSP-0014,2024-06-13,2024-06-14 02:12:38,PRD-02,night,OP-2517,INS-0342,Factory-Z3,15,41.9,cracking,4.0,0.0961067274459383,0,1
INSP-0015,2024-06-14,2024-06-14 09:36:51,PRD-03,morning,OP-0112,INS-5961,Factory-X0,0,98.2,0,0.0,0.1349769853646526,0,0
INSP-0015,2024-06-14,2024-06-14 09:36:51,PRD-03,morning,OP-0112,INS-5961,Factory-X0,0,98.2,0,0.0,0.1349769853646526,0,0
INSP-0015,2024-06-14,2024-06-14 09:36:51,PRD-03,morning,OP-0112,INS-5961,Factory-X0,0,98.2,0,0.0,0.3924822905783616,0,0
INSP-0015,2024-06-14,2024-06-14 09:36:51,PRD-03,morning,OP-0112,INS-5961,Factory-X0,0,98.2,0,0.0,0.3924822905783616,0,0
INSP-0016,2024-06-15,2024-06-15 16:21:07,PRD-01,afternoon,OP-3452,INS-9052,Factory-G9,1,72.0,discoloration,1.0,0.2105613783046094,0,1
INSP-0016,2024-06-15,2024-06-15 16:21:07,PRD-01,afternoon,OP-3452,INS-9052,Factory-G9,1,72.0,discoloration,1.0,0.2105613783046094,0,1
INSP-0016,2024-06-15,2024-06-15 16:21:07,PRD-01,afternoon,OP-3452,INS-9052,Factory-G9,1,72.0,discoloration,1.0,0.1092297778645788,0,1
INSP-0016,2024-06-15,2024-06-15 16:21:07,PRD-01,afternoon,OP-3452,INS-9052,Factory-G9,1,72.0,discoloration,1.0,0.1092297778645788,0,1
INSP-0017,2024-06-16,2024-06-17 01:19:53,PRD-02,night,OP-2186,INS-0342,Factory-A2,8,69.5,contamination,3.0,0.0361299690343653,0,1
INSP-0017,2024-06-16,2024-06-17 01:19:53,PRD-02,night,OP-2186,INS-0342,Factory-A2,8,69.5,contamination,3.0,0.0361299690343653,0,1
INSP-0017,2024-06-16,2024-06-17 01:19:53,PRD-02,night,OP-2186,INS-0342,Factory-A2,8,69.5,contamination,3.0,0.0157727609446373,0,1
INSP-0017,2024-06-16,2024-06-17 01:19:53,PRD-02,night,OP-2186,INS-0342,Factory-A2,8,69.5,contamination,3.0,0.0157727609446373,0,1
INSP-0018,2024-06-17,2024-06-17 15:46:39,PRD-04,afternoon,OP-0033,INS-2178,Factory-G9,0,100.0,0,0.0,0.1945228681153715,0,0
INSP-0018,2024-06-17,2024-06-17 15:46:39,PRD-04,afternoon,OP-0033,INS-2178,Factory-G9,0,100.0,0,0.0,0.1945228681153715,0,0
INSP-0018,2024-06-17,2024-06-17 15:46:39,PRD-04,afternoon,OP-0033,INS-2178,Factory-G9,0,100.0,0,0.0,0.2356508592024351,0,0
INSP-0018,2024-06-17,2024-06-17 15:46:39,PRD-04,afternoon,OP-0033,INS-2178,Factory-G9,0,100.0,0,0.0,0.2356508592024351,0,0
INSP-0019,2024-06-18,2024-06-18 10:15:04,PRD-03,morning,OP-4178,INS-5961,Factory-Y7,0,99.9,0,0.0,0.1013400908293439,0,0
INSP-0019,2024-06-18,2024-06-18 10:15:04,PRD-03,morning,OP-4178,INS-5961,Factory-Y7,0,99.9,0,0.0,0.1013400908293439,0,0
INSP-0019,2024-06-18,2024-06-18 10:15:04,PRD-03,morning,OP-4178,INS-5961,Factory-Y7,0,99.9,0,0.0,0.0834356819297631,0,0
INSP-0019,2024-06-18,2024-06-18 10:15:04,PRD-03,morning,OP-4178,INS-5961,Factory-Y7,0,99.9,0,0.0,0.0834356819297631,0,0
INSP-0020,2024-06-19,2024-06-19 15:02:12,PRD-01,afternoon,OP-0001,INS-2231,Factory-E1,2,82.3,scratch,1.0,0.3768845586272665,0,1
INSP-0020,2024-06-19,2024-06-19 15:02:12,PRD-01,afternoon,OP-0001,INS-2231,Factory-E1,2,82.3,scratch,1.0,0.3768845586272665,0,1
INSP-0020,2024-06-19,2024-06-19 15:02:12,PRD-01,afternoon,OP-0001,INS-2231,Factory-E1,2,82.3,scratch,1.0,0.1420985285622568,0,1
INSP-0020,2024-06-19,2024-06-19 15:02:12,PRD-01,afternoon,OP-0001,INS-2231,Factory-E1,2,82.3,scratch,1.0,0.1420985285622568,0,1
INSP-0021,2024-06-20,2024-06-21 03:00:59,PRD-02,night,OP-2186,INS-0342,Factory-X0,6,49.7,misalignment,4.0,0.0458896469321455,0,1
INSP-0021,2024-06-20,2024-06-21 03:00:59,PRD-02,night,OP-2186,INS-0342,Factory-X0,6,49.7,misalignment,4.0,0.0458896469321455,0,1
INSP-0021,2024-06-20,2024-06-21 03:00:59,PRD-02,night,OP-2186,INS-0342,Factory-X0,6,49.7,misalignment,4.0,0.0206709026748619,0,1
INSP-0021,2024-06-20,2024-06-21 03:00:59,PRD-02,night,OP-2186,INS-0342,Factory-X0,6,49.7,misalignment,4.0,0.0206709026748619,0,1
INSP-0022,2024-06-21,2024-06-21 14:44:28,PRD-03,afternoon,OP-5691,INS-2178,Factory-A2,0,100.0,0,0.0,0.0765007452725093,0,0
INSP-0022,2024-06-21,2024-06-21 14:44:28,PRD-03,afternoon,OP-5691,INS-2178,Factory-A2,0,100.0,0,0.0,0.0765007452725093,0,0
INSP-0022,2024-06-21,2024-06-21 14:44:28,PRD-03,afternoon,OP-5691,INS-2178,Factory-A2,0,100.0,0,0.0,0.316697293197273,0,0
INSP-0022,2024-06-21,2024-06-21 14:44:28,PRD-03,afternoon,OP-5691,INS-2178,Factory-A2,0,100.0,0,0.0,0.316697293197273,0,0
INSP-0023,2024-06-22,2024-06-22 09:59:01,PRD-01,morning,OP-2517,INS-9052,Factory-Z3,1,79.8,marking,2.0,0.1968457420472042,0,1
INSP-0023,2024-06-22,2024-06-22 09:59:01,PRD-01,morning,OP-2517,INS-9052,Factory-Z3,1,79.8,marking,2.0,0.1968457420472042,0,1
INSP-0023,2024-06-22,2024-06-22 09:59:01,PRD-01,morning,OP-2517,INS-9052,Factory-Z3,1,79.8,marking,2.0,0.11171010350172,0,1
INSP-0023,2024-06-22,2024-06-22 09:59:01,PRD-01,morning,OP-2517,INS-9052,Factory-Z3,1,79.8,marking,2.0,0.11171010350172,0,1
INSP-0024,2024-06-23,2024-06-23 14:33:56,PRD-02,afternoon,OP-0033,INS-2178,Factory-G9,0,85.7,0,0.0,0.3137446033787455,0,0
INSP-0024,2024-06-23,2024-06-23 14:33:56,PRD-02,afternoon,OP-0033,INS-2178,Factory-G9,0,85.7,0,0.0,0.3137446033787455,0,0
INSP-0024,2024-06-23,2024-06-23 14:33:56,PRD-02,afternoon,OP-0033,INS-2178,Factory-G9,0,85.7,0,0.0,0.18409353913899,0,0
INSP-0024,2024-06-23,2024-06-23 14:33:56,PRD-02,afternoon,OP-0033,INS-2178,Factory-G9,0,85.7,0,0.0,0.18409353913899,0,0
INSP-0025,2024-06-24,2024-06-25 01:17:31,PRD-03,night,OP-0112,INS-9052,Factory-Y7,4,63.8,contamination,3.0,0.0478050346205047,0,1
INSP-0025,2024-06-24,2024-06-25 01:17:31,PRD-03,night,OP-0112,INS-9052,Factory-Y7,4,63.8,contamination,3.0,0.0478050346205047,0,1
INSP-0025,2024-06-24,2024-06-25 01:17:31,PRD-03,night,OP-0112,INS-9052,Factory-Y7,4,63.8,contamination,3.0,0.0147770521048628,0,1
INSP-0025,2024-06-24,2024-06-25 01:17:31,PRD-03,night,OP-0112,INS-9052,Factory-Y7,4,63.8,contamination,3.0,0.0147770521048628,0,1
INSP-0026,2024-06-25,2024-06-25 11:04:24,PRD-04,morning,OP-5691,INS-2231,Factory-X0,0,89.5,0,0.0,0.0577130219154528,0,0
INSP-0026,2024-06-25,2024-06-25 11:04:24,PRD-04,morning,OP-5691,INS-2231,Factory-X0,0,89.5,0,0.0,0.0577130219154528,0,0
INSP-0026,2024-06-25,2024-06-25 11:04:24,PRD-04,morning,OP-5691,INS-2231,Factory-X0,0,89.5,0,0.0,0.1383452793815541,0,0
INSP-0026,2024-06-25,2024-06-25 11:04:24,PRD-04,morning,OP-5691,INS-2231,Factory-X0,0,89.5,0,0.0,0.1383452793815541,0,0
INSP-0027,2024-06-26,2024-06-26 15:57:09,PRD-01,afternoon,OP-2186,INS-9052,Factory-E1,1,75.3,dent,1.0,0.259851920762831,0,1
INSP-0027,2024-06-26,2024-06-26 15:57:09,PRD-01,afternoon,OP-2186,INS-9052,Factory-E1,1,75.3,dent,1.0,0.259851920762831,0,1
INSP-0027,2024-06-26,2024-06-26 15:57:09,PRD-01,afternoon,OP-2186,INS-9052,Factory-E1,1,75.3,dent,1.0,0.2599214116426124,0,1
INSP-0027,2024-06-26,2024-06-26 15:57:09,PRD-01,afternoon,OP-2186,INS-9052,Factory-E1,1,75.3,dent,1.0,0.2599214116426124,0,1
INSP-0028,2024-06-27,2024-06-28 00:27:17,PRD-02,night,OP-3452,INS-0342,Factory-A2,9,57.9,cracking,3.0,0.0256679139670544,0,1
INSP-0028,2024-06-27,2024-06-28 00:27:17,PRD-02,night,OP-3452,INS-0342,Factory-A2,9,57.9,cracking,3.0,0.0256679139670544,0,1
INSP-0028,2024-06-27,2024-06-28 00:27:17,PRD-02,night,OP-3452,INS-0342,Factory-A2,9,57.9,cracking,3.0,0.2275109140122372,0,1
INSP-0028,2024-06-27,2024-06-28 00:27:17,PRD-02,night,OP-3452,INS-0342,Factory-A2,9,57.9,cracking,3.0,0.2275109140122372,0,1
INSP-0029,2024-06-28,2024-06-28 10:27:13,PRD-03,morning,OP-4178,INS-5961,Factory-Z3,0,100.0,0,0.0,0.081612102497286,0,0
INSP-0029,2024-06-28,2024-06-28 10:27:13,PRD-03,morning,OP-4178,INS-5961,Factory-Z3,0,100.0,0,0.0,0.081612102497286,0,0
INSP-0029,2024-06-28,2024-06-28 10:27:13,PRD-03,morning,OP-4178,INS-5961,Factory-Z3,0,100.0,0,0.0,0.0459419597362851,0,0
INSP-0029,2024-06-28,2024-06-28 10:27:13,PRD-03,morning,OP-4178,INS-5961,Factory-Z3,0,100.0,0,0.0,0.0459419597362851,0,0
INSP-0030,2024-06-29,2024-06-29 16:36:21,PRD-04,afternoon,OP-0033,INS-2178,Factory-Y7,0,88.5,0,0.0,0.2498026862498747,0,0
INSP-0030,2024-06-29,2024-06-29 16:36:21,PRD-04,afternoon,OP-0033,INS-2178,Factory-Y7,0,88.5,0,0.0,0.2498026862498747,0,0
INSP-0030,2024-06-29,2024-06-29 16:36:21,PRD-04,afternoon,OP-0033,INS-2178,Factory-Y7,0,88.5,0,0.0,0.3020049099913915,0,0
INSP-0030,2024-06-29,2024-06-29 16:36:21,PRD-04,afternoon,OP-0033,INS-2178,Factory-Y7,0,88.5,0,0.0,0.3020049099913915,0,0
INSP-0031,2024-06-30,2024-07-01 02:37:55,PRD-01,night,OP-2517,INS-0342,Factory-G9,19,0.0,major_crack,4.0,0.0489297702576206,0,1
INSP-0031,2024-06-30,2024-07-01 02:37:55,PRD-01,night,OP-2517,INS-0342,Factory-G9,19,0.0,major_crack,4.0,0.0489297702576206,0,1
INSP-0031,2024-06-30,2024-07-01 02:37:55,PRD-01,night,OP-2517,INS-0342,Factory-G9,19,0.0,major_crack,4.0,0.0161888258240437,0,1
INSP-0031,2024-06-30,2024-07-01 02:37:55,PRD-01,night,OP-2517,INS-0342,Factory-G9,19,0.0,major_crack,4.0,0.0161888258240437,0,1
INSP-0032,2024-05-20,2024-05-20 09:07:01,PRD-02,morning,OP-2186,INS-9052,Factory-E1,0,97.6,0,0.0,0.1165699778877221,0,0
INSP-0032,2024-05-20,2024-05-20 09:07:01,PRD-02,morning,OP-2186,INS-9052,Factory-E1,0,97.6,0,0.0,0.1165699778877221,0,0
INSP-0032,2024-05-20,2024-05-20 09:07:01,PRD-02,morning,OP-2186,INS-9052,Factory-E1,0,97.6,0,0.0,0.1457178003088469,0,0
INSP-0032,2024-05-20,2024-05-20 09:07:01,PRD-02,morning,OP-2186,INS-9052,Factory-E1,0,97.6,0,0.0,0.1457178003088469,0,0
INSP-0033,2024-05-21,2024-05-21 16:12:05,PRD-03,afternoon,OP-0033,INS-2178,Factory-X0,0,84.1,0,0.0,0.3123848997308815,0,0
INSP-0033,2024-05-21,2024-05-21 16:12:05,PRD-03,afternoon,OP-0033,INS-2178,Factory-X0,0,84.1,0,0.0,0.3123848997308815,0,0
INSP-0033,2024-05-21,2024-05-21 16:12:05,PRD-03,afternoon,OP-0033,INS-2178,Factory-X0,0,84.1,0,0.0,0.1383863860306167,0,0
INSP-0033,2024-05-21,2024-05-21 16:12:05,PRD-03,afternoon,OP-0033,INS-2178,Factory-X0,0,84.1,0,0.0,0.1383863860306167,0,0
INSP-0034,2024-05-22,2024-05-23 00:45:37,PRD-04,night,OP-4178,INS-0342,Factory-Y7,4,66.5,mislabel,3.0,0.0102916352053566,0,1
INSP-0034,2024-05-22,2024-05-23 00:45:37,PRD-04,night,OP-4178,INS-0342,Factory-Y7,4,66.5,mislabel,3.0,0.0102916352053566,0,1
INSP-0034,2024-05-22,2024-05-23 00:45:37,PRD-04,night,OP-4178,INS-0342,Factory-Y7,4,66.5,mislabel,3.0,0.363235131212257,0,1
INSP-0034,2024-05-22,2024-05-23 00:45:37,PRD-04,night,OP-4178,INS-0342,Factory-Y7,4,66.5,mislabel,3.0,0.363235131212257,0,1
INSP-0035,2024-05-23,2024-05-23 08:31:46,PRD-02,morning,OP-5691,INS-9052,Factory-G9,0,91.7,0,0.0,0.0922178717904207,0,0
INSP-0035,2024-05-23,2024-05-23 08:31:46,PRD-02,morning,OP-5691,INS-9052,Factory-G9,0,91.7,0,0.0,0.0922178717904207,0,0
INSP-0035,2024-05-23,2024-05-23 08:31:46,PRD-02,morning,OP-5691,INS-9052,Factory-G9,0,91.7,0,0.0,0.0687073765608972,0,0
INSP-0035,2024-05-23,2024-05-23 08:31:46,PRD-02,morning,OP-5691,INS-9052,Factory-G9,0,91.7,0,0.0,0.0687073765608972,0,0
INSP-0036,2024-05-24,2024-05-24 14:10:09,PRD-01,afternoon,OP-0112,INS-2178,Factory-A2,2,74.9,scratch,2.0,0.2284565532339088,0,1
INSP-0036,2024-05-24,2024-05-24 14:10:09,PRD-01,afternoon,OP-0112,INS-2178,Factory-A2,2,74.9,scratch,2.0,0.2284565532339088,0,1
INSP-0036,2024-05-24,2024-05-24 14:10:09,PRD-01,afternoon,OP-0112,INS-2178,Factory-A2,2,74.9,scratch,2.0,0.0357890720750572,0,1
INSP-0036,2024-05-24,2024-05-24 14:10:09,PRD-01,afternoon,OP-0112,INS-2178,Factory-A2,2,74.9,scratch,2.0,0.0357890720750572,0,1
INSP-0037,2024-05-25,2024-05-26 01:16:27,PRD-03,night,OP-2517,INS-0342,Factory-Z3,5,55.2,cracking,3.0,0.0330215951200614,0,1
INSP-0037,2024-05-25,2024-05-26 01:16:27,PRD-03,night,OP-2517,INS-0342,Factory-Z3,5,55.2,cracking,3.0,0.0330215951200614,0,1
INSP-0037,2024-05-25,2024-05-26 01:16:27,PRD-03,night,OP-2517,INS-0342,Factory-Z3,5,55.2,cracking,3.0,0.1629946651263185,0,1
INSP-0037,2024-05-25,2024-05-26 01:16:27,PRD-03,night,OP-2517,INS-0342,Factory-Z3,5,55.2,cracking,3.0,0.1629946651263185,0,1
INSP-0038,2024-05-26,2024-05-26 10:06:53,PRD-04,morning,OP-5691,INS-2231,Factory-Y7,0,98.7,0,0.0,0.0633015137350441,0,0
INSP-0038,2024-05-26,2024-05-26 10:06:53,PRD-04,morning,OP-5691,INS-2231,Factory-Y7,0,98.7,0,0.0,0.0633015137350441,0,0
INSP-0038,2024-05-26,2024-05-26 10:06:53,PRD-04,morning,OP-5691,INS-2231,Factory-Y7,0,98.7,0,0.0,0.0823337396652158,0,0
INSP-0038,2024-05-26,2024-05-26 10:06:53,PRD-04,morning,OP-5691,INS-2231,Factory-Y7,0,98.7,0,0.0,0.0823337396652158,0,0
INSP-0039,2024-05-27,2024-05-27 15:35:11,PRD-01,afternoon,OP-0001,INS-9052,Factory-G9,2,76.1,discoloration,2.0,0.3614151839948257,0,1
INSP-0039,2024-05-27,2024-05-27 15:35:11,PRD-01,afternoon,OP-0001,INS-9052,Factory-G9,2,76.1,discoloration,2.0,0.3614151839948257,0,1
INSP-0039,2024-05-27,2024-05-27 15:35:11,PRD-01,afternoon,OP-0001,INS-9052,Factory-G9,2,76.1,discoloration,2.0,0.2958525972059639,0,1
INSP-0039,2024-05-27,2024-05-27 15:35:11,PRD-01,afternoon,OP-0001,INS-9052,Factory-G9,2,76.1,discoloration,2.0,0.2958525972059639,0,1
INSP-0040,2024-05-28,2024-05-29 02:55:43,PRD-02,night,OP-3452,INS-0342,Factory-X0,10,45.8,misalignment,4.0,0.0315399532807819,0,1
INSP-0040,2024-05-28,2024-05-29 02:55:43,PRD-02,night,OP-3452,INS-0342,Factory-X0,10,45.8,misalignment,4.0,0.0315399532807819,0,1
INSP-0040,2024-05-28,2024-05-29 02:55:43,PRD-02,night,OP-3452,INS-0342,Factory-X0,10,45.8,misalignment,4.0,0.1842744299927217,0,1
INSP-0040,2024-05-28,2024-05-29 02:55:43,PRD-02,night,OP-3452,INS-0342,Factory-X0,10,45.8,misalignment,4.0,0.1842744299927217,0,1
INSP-0041,2024-05-29,2024-05-29 08:30:17,PRD-03,morning,OP-4178,INS-5961,Factory-A2,0,100.0,0,0.0,0.052541831044465,0,0
INSP-0041,2024-05-29,2024-05-29 08:30:17,PRD-03,morning,OP-4178,INS-5961,Factory-A2,0,100.0,0,0.0,0.052541831044465,0,0
INSP-0041,2024-05-29,2024-05-29 08:30:17,PRD-03,morning,OP-4178,INS-5961,Factory-A2,0,100.0,0,0.0,0.013695079186059,0,0
INSP-0041,2024-05-29,2024-05-29 08:30:17,PRD-03,morning,OP-4178,INS-5961,Factory-A2,0,100.0,0,0.0,0.013695079186059,0,0
INSP-0042,2024-05-30,2024-05-30 16:01:33,PRD-01,afternoon,OP-2186,INS-9052,Factory-Z3,2,73.2,marking,2.0,0.3852256081972376,0,1
INSP-0042,2024-05-30,2024-05-30 16:01:33,PRD-01,afternoon,OP-2186,INS-9052,Factory-Z3,2,73.2,marking,2.0,0.3852256081972376,0,1
INSP-0042,2024-05-30,2024-05-30 16:01:33,PRD-01,afternoon,OP-2186,INS-9052,Factory-Z3,2,73.2,marking,2.0,0.2475608266487102,0,1
INSP-0042,2024-05-30,2024-05-30 16:01:33,PRD-01,afternoon,OP-2186,INS-9052,Factory-Z3,2,73.2,marking,2.0,0.2475608266487102,0,1
