batch_id,production_date,product_code,shift,operator_id,inspection_id,inspection_date,inspector_id,quality_score,defect_type,defect_severity,defect_count,rework_required,comments,factory_location,prod_date,prod_hour,prod_weekday,inspection_delay,is_severe,has_defect,predicted_defect_prob
R5203-20240616,2024-06-16,PRD-02,night,OP-2186,INSP-0017,2024-06-17 01:19:53,INS-0342,69.5,contamination,3.0,8,True,Contamination. Full rework required.,Factory-A2,2024-06-16,0,Sunday,1,0,1,0.036129969034365335
S1542-20240617,2024-06-17,PRD-04,afternoon,OP-0033,INSP-0018,2024-06-17 15:46:39,INS-2178,100.0,0,0.0,0,False,No defects found. Exceptional quality.,Factory-G9,2024-06-17,0,Monday,0,0,0,0.19452286811537153
T7612-20240618,2024-06-18,PRD-03,morning,OP-4178,INSP-0019,2024-06-18 10:15:04,INS-5961,99.9,0,0.0,0,False,Batch meets highest standards.,Factory-Y7,2024-06-18,0,Tuesday,0,0,0,0.10134009082934398
U6045-20240619,2024-06-19,PRD-01,afternoon,OP-0001,INSP-0020,2024-06-19 15:02:12,INS-2231,82.3,scratch,1.0,2,False,"Light scratch detected, no action needed.",Factory-E1,2024-06-19,0,Wednesday,0,0,1,0.3768845586272665
V2354-20240620,2024-06-20,PRD-02,night,OP-2186,INSP-0021,2024-06-21 03:00:59,INS-0342,49.7,misalignment,4.0,6,True,Severe misalignment. Batch failed.,Factory-X0,2024-06-20,0,Thursday,1,0,1,0.045889646932145534
W3819-20240621,2024-06-21,PRD-03,afternoon,OP-5691,INSP-0022,2024-06-21 14:44:28,INS-2178,100.0,0,0.0,0,False,"Outstanding batch, no defects.",Factory-A2,2024-06-21,0,Friday,0,0,0,0.07650074527250932
X6210-20240622,2024-06-22,PRD-01,morning,OP-2517,INSP-0023,2024-06-22 09:59:01,INS-9052,79.8,marking,2.0,1,False,"Marking noted, within tolerance.",Factory-Z3,2024-06-22,0,Saturday,0,0,1,0.19684574204720426
Y9027-20240623,2024-06-23,PRD-02,afternoon,OP-0033,INSP-0024,2024-06-23 14:33:56,INS-2178,85.7,0,0.0,0,False,Batch passed inspection.,Factory-G9,2024-06-23,0,Sunday,0,0,0,0.31374460337874555
Z4172-20240624,2024-06-24,PRD-03,night,OP-0112,INSP-0025,2024-06-25 01:17:31,INS-9052,63.8,contamination,3.0,4,True,Batch flagged for rework due to contamination.,Factory-Y7,2024-06-24,0,Monday,1,0,1,0.047805034620504734
A8015-20240625,2024-06-25,PRD-04,morning,OP-5691,INSP-0026,2024-06-25 11:04:24,INS-2231,89.5,0,0.0,0,False,Batch meets all required specs.,Factory-X0,2024-06-25,0,Tuesday,0,0,0,0.05771302191545285
B4002-20240626,2024-06-26,PRD-01,afternoon,OP-2186,INSP-0027,2024-06-26 15:57:09,INS-9052,75.3,dent,1.0,1,False,"Minor dent found, no further action.",Factory-E1,2024-06-26,0,Wednesday,0,0,1,0.25985192076283103
C0281-20240627,2024-06-27,PRD-02,night,OP-3452,INSP-0028,2024-06-28 00:27:17,INS-0342,57.9,cracking,3.0,9,True,Cracking detected. Full rework necessary.,Factory-A2,2024-06-27,0,Thursday,1,0,1,0.02566791396705448
D7723-20240628,2024-06-28,PRD-03,morning,OP-4178,INSP-0029,2024-06-28 10:27:13,INS-5961,100.0,0,0.0,0,False,Batch received perfect rating.,Factory-Z3,2024-06-28,0,Friday,0,0,0,0.08161210249728601
E5631-20240629,2024-06-29,PRD-04,afternoon,OP-0033,INSP-0030,2024-06-29 16:36:21,INS-2178,88.5,0,0.0,0,False,No issues detected.,Factory-Y7,2024-06-29,0,Saturday,0,0,0,0.24980268624987473
F3812-20240630,2024-06-30,PRD-01,night,OP-2517,INSP-0031,2024-07-01 02:37:55,INS-0342,0.0,major_crack,4.0,19,True,Complete failure. Batch rejected.,Factory-G9,2024-06-30,0,Sunday,1,0,1,0.0489297702576206
G9028-20240520,2024-05-20,PRD-02,morning,OP-2186,INSP-0032,2024-05-20 09:07:01,INS-9052,97.6,0,0.0,0,False,No defects found.,Factory-E1,2024-05-20,0,Monday,0,0,0,0.11656997788772215
H7213-20240521,2024-05-21,PRD-03,afternoon,OP-0033,INSP-0033,2024-05-21 16:12:05,INS-2178,84.1,0,0.0,0,False,Batch meets all requirements.,Factory-X0,2024-05-21,0,Tuesday,0,0,0,0.31238489973088157
J8123-20240522,2024-05-22,PRD-04,night,OP-4178,INSP-0034,2024-05-23 00:45:37,INS-0342,66.5,mislabel,3.0,4,True,"Mislabel found, rework required.",Factory-Y7,2024-05-22,0,Wednesday,1,0,1,0.010291635205356687
K9134-20240523,2024-05-23,PRD-02,morning,OP-5691,INSP-0035,2024-05-23 08:31:46,INS-9052,91.7,0,0.0,0,False,No deviations detected.,Factory-G9,2024-05-23,0,Thursday,0,0,0,0.09221787179042079
L5812-20240524,2024-05-24,PRD-01,afternoon,OP-0112,INSP-0036,2024-05-24 14:10:09,INS-2178,74.9,scratch,2.0,2,False,"Minor scratch detected, no rework needed.",Factory-A2,2024-05-24,0,Friday,0,0,1,0.22845655323390882
M6718-20240525,2024-05-25,PRD-03,night,OP-2517,INSP-0037,2024-05-26 01:16:27,INS-0342,55.2,cracking,3.0,5,True,Cracking observed. Batch flagged for rework.,Factory-Z3,2024-05-25,0,Saturday,1,0,1,0.033021595120061475
N1829-20240526,2024-05-26,PRD-04,morning,OP-5691,INSP-0038,2024-05-26 10:06:53,INS-2231,98.7,0,0.0,0,False,Batch meets all standards.,Factory-Y7,2024-05-26,0,Sunday,0,0,0,0.06330151373504413
O3992-20240527,2024-05-27,PRD-01,afternoon,OP-0001,INSP-0039,2024-05-27 15:35:11,INS-9052,76.1,discoloration,2.0,2,False,Discoloration within acceptable range.,Factory-G9,2024-05-27,0,Monday,0,0,1,0.3614151839948257
P4728-20240528,2024-05-28,PRD-02,night,OP-3452,INSP-0040,2024-05-29 02:55:43,INS-0342,45.8,misalignment,4.0,10,True,"Misalignment detected, batch failed.",Factory-X0,2024-05-28,0,Tuesday,1,0,1,0.03153995328078197
Q3291-20240529,2024-05-29,PRD-03,morning,OP-4178,INSP-0041,2024-05-29 08:30:17,INS-5961,100.0,0,0.0,0,False,Batch scored 100. No defects.,Factory-A2,2024-05-29,0,Wednesday,0,0,0,0.05254183104446507
R8092-20240530,2024-05-30,PRD-01,afternoon,OP-2186,INSP-0042,2024-05-30 16:01:33,INS-9052,73.2,marking,2.0,2,False,"Marking found, no functional impact.",Factory-Z3,2024-05-30,0,Thursday,0,0,1,0.38522560819723767
S4923-20240531,2024-05-31,PRD-02,night,OP-0033,INSP-0043,2024-06-01 00:57:28,INS-0342,40.2,cracking,4.0,16,True,Significant cracking. Batch must be reworked.,Factory-X0,2024-05-31,0,Friday,1,0,1,0.06048276092535722
T1809-20240515,2024-05-15,PRD-04,morning,OP-5691,INSP-0044,2024-05-15 10:18:09,INS-2231,99.2,0,0.0,0,False,Batch meets all benchmarks.,Factory-Y7,2024-05-15,0,Wednesday,0,0,0,0.05828154396622289
U1203-20240101,2024-01-01,PRD-01,afternoon,OP-0001,INSP-0045,2024-01-01 14:29:15,INS-9052,100.0,0,0.0,0,False,First batch of the year. No issues.,Factory-G9,2024-01-01,0,Monday,0,0,0,0.3614151839948257
V3812-20230228,2023-02-28,PRD-02,night,OP-2186,INSP-0046,2023-03-01 01:18:49,INS-0342,0.0,major_crack,4.0,20,True,Old batch. Catastrophic failure.,Factory-E1,2023-02-28,0,Tuesday,1,0,1,0.0355254930732957
W7281-20240503,2024-05-03,PRD-03,morning,OP-2517,INSP-0047,2024-05-03 08:46:22,INS-9052,99.6,0,0.0,0,False,Outstanding batch.,Factory-X0,2024-05-03,0,Friday,0,0,0,0.09448546389449301
X2019-20240504,2024-05-04,PRD-04,afternoon,OP-0033,INSP-0048,2024-05-04 14:31:01,INS-2178,83.0,0,0.0,0,False,No defects detected.,Factory-Y7,2024-05-04,0,Saturday,0,0,0,0.24980268624987473
Y8129-20240505,2024-05-05,PRD-01,night,OP-4178,INSP-0049,2024-05-06 00:10:04,INS-0342,58.6,contamination,3.0,5,True,"Contamination identified, batch failed.",Factory-Z3,2024-05-05,0,Sunday,1,0,1,0.03704651054521107
Z6213-20240506,2024-05-06,PRD-02,afternoon,OP-5691,INSP-0050,2024-05-06 15:20:38,INS-9052,89.9,0,0.0,0,False,Batch meets all standards.,Factory-A2,2024-05-06,0,Monday,0,0,0,0.0995181621377079
A1201-20240601,2024-06-01,PRD-01,morning,OP-0033,INSP-20001,2024-06-01 09:23:00,INS-1001,99.5,0,0.0,0,False,Batch exceeded quality benchmarks. No issues detected.,Factory-E1,2024-06-01,0,Saturday,0,0,0,0.19114828103866366
B2085-20240601,2024-06-01,PRD-02,afternoon,OP-2186,INSP-20002,2024-06-01 15:34:00,INS-1002,83.7,scratch,1.0,1,False,"Minor scratch noted, within tolerance levels.",Factory-A2,2024-06-01,0,Saturday,0,0,1,0.17242769465339455
C3167-20240601,2024-06-01,PRD-03,night,OP-5691,INSP-20003,2024-06-02 00:45:00,INS-1003,67.4,misalignment,3.0,5,True,Batch failed due to misalignment. Requires rework.,Factory-Z3,2024-06-01,0,Saturday,1,0,1,0.019507804561977673
D4226-20240601,2024-06-01,PRD-04,morning,OP-0112,INSP-20004,2024-06-01 10:12:00,INS-1004,97.2,0,0.0,0,False,No defects found. Batch meets all specifications.,Factory-Y7,2024-06-01,0,Saturday,0,0,0,0.12858699372297538
E5016-20240602,2024-06-02,PRD-01,afternoon,OP-0033,INSP-20005,2024-06-02 14:19:00,INS-1001,89.1,0,0.0,0,False,Batch inspected with no issues detected.,Factory-E1,2024-06-02,0,Sunday,0,0,0,0.3233932967972135
F6983-20240602,2024-06-02,PRD-02,night,OP-2517,INSP-20006,2024-06-03 01:03:00,INS-1005,49.8,contamination,4.0,8,True,High contamination detected. Full rework required.,Factory-X0,2024-06-02,0,Sunday,1,0,1,0.043348613211556246
G8092-20240602,2024-06-02,PRD-03,morning,OP-4178,INSP-20007,2024-06-02 08:55:00,INS-1006,100.0,0,0.0,0,False,Perfect batch. No issues found.,Factory-G9,2024-06-02,0,Sunday,0,0,0,0.07995308493786736
H9021-20240603,2024-06-03,PRD-04,afternoon,OP-0001,INSP-20008,2024-06-03 16:10:00,INS-1002,79.4,marking,2.0,2,False,Spot marking observed; batch still passes inspection.,Factory-A2,2024-06-03,0,Monday,0,0,1,0.17218960535459366
I1023-20240603,2024-06-03,PRD-01,night,OP-5691,INSP-20009,2024-06-04 01:44:00,INS-1007,61.2,cracking,3.0,4,True,Cracking detected; batch failed and requires rework.,Factory-Z3,2024-06-03,0,Monday,1,0,1,0.03007168317535923
J2039-20240603,2024-06-03,PRD-02,morning,OP-1674,INSP-20010,2024-06-03 11:27:00,INS-1004,98.8,0,0.0,0,False,Inspection passed with no issues.,Factory-E1,2024-06-03,0,Monday,0,0,0,0.130524666409531
K3047-20240604,2024-06-04,PRD-03,afternoon,OP-0033,INSP-20011,2024-06-04 15:48:00,INS-1002,77.9,dent,1.0,2,False,"Minor dent observed, within acceptable range.",Factory-Y7,2024-06-04,0,Tuesday,0,0,1,0.3411445609160122
L4092-20240604,2024-06-04,PRD-04,night,OP-4178,INSP-20012,2024-06-05 02:09:00,INS-1008,40.7,mislabel,4.0,10,True,Mislabel detected; batch failed and requires rework.,Factory-G9,2024-06-04,0,Tuesday,1,0,1,0.01113135920313093
M5001-20240604,2024-06-04,PRD-01,morning,OP-2517,INSP-20013,2024-06-04 08:31:00,INS-1009,92.3,0,0.0,0,False,Batch meets all production standards.,Factory-E1,2024-06-04,0,Tuesday,0,0,0,0.14239017446497684
N6017-20240605,2024-06-05,PRD-02,afternoon,OP-0033,INSP-20014,2024-06-05 16:51:00,INS-1003,80.5,discoloration,2.0,2,False,Minor discoloration within tolerance. Batch passes.,Factory-A2,2024-06-05,0,Wednesday,0,0,1,0.26726641246531463
O7023-20240605,2024-06-05,PRD-03,night,OP-5691,INSP-20015,2024-06-06 00:14:00,INS-1005,65.1,misalignment,3.0,6,True,Batch failed due to misalignment issues. Rework required.,Factory-Z3,2024-06-05,0,Wednesday,1,0,1,0.01365991040513228
P8039-20240605,2024-06-05,PRD-04,morning,OP-7777,INSP-20016,2024-06-05 09:14:00,INS-1006,99.8,0,0.0,0,False,No issues detected during inspection.,Factory-Y7,2024-06-05,0,Wednesday,0,0,0,0.05010000278055223
Q9048-20240606,2024-06-06,PRD-01,afternoon,OP-0112,INSP-20017,2024-06-06 14:55:00,INS-1001,76.3,marking,1.0,2,False,"Spot marking observed, batch still passes inspection.",Factory-E1,2024-06-06,0,Thursday,0,0,1,0.30507724929536284
R1002-20240606,2024-06-06,PRD-02,night,OP-2517,INSP-20018,2024-06-07 01:12:00,INS-1002,55.2,contamination,4.0,7,True,Batch failed due to contamination. Requires full rework.,Factory-X0,2024-06-06,0,Thursday,1,0,1,0.040698629643246546
S2098-20240606,2024-06-06,PRD-03,morning,OP-4178,INSP-20019,2024-06-06 10:44:00,INS-1004,96.1,0,0.0,0,False,Batch inspected. No defects found.,Factory-G9,2024-06-06,0,Thursday,0,0,0,0.08229913309762402
T3201-20240607,2024-06-07,PRD-04,afternoon,OP-0033,INSP-20020,2024-06-07 16:02:00,INS-1005,72.5,foreign_object,2.0,2,False,Foreign object detected but within tolerance.,Factory-A2,2024-06-07,0,Friday,0,0,1,0.14680381953101618
U4016-20240607,2024-06-07,PRD-01,night,OP-5691,INSP-20021,2024-06-08 00:29:00,INS-1006,8.2,major_crack,4.0,19,True,Complete failure. Batch must be discarded.,Factory-Z3,2024-06-07,0,Friday,1,0,1,0.028262694122379087
V5092-20240607,2024-06-07,PRD-02,morning,OP-0001,INSP-20022,2024-06-07 09:07:00,INS-1007,95.7,0,0.0,0,False,Batch meets all specifications. No defects.,Factory-E1,2024-06-07,0,Friday,0,0,0,0.15331733675777512
W6091-20240608,2024-06-08,PRD-03,afternoon,OP-0033,INSP-20023,2024-06-08 15:29:00,INS-1008,78.4,dent,1.0,1,False,"Minor dent detected, batch passes inspection.",Factory-Y7,2024-06-08,0,Saturday,0,0,1,0.30465715459465886
X7028-20240608,2024-06-08,PRD-04,night,OP-4178,INSP-20024,2024-06-09 02:55:00,INS-1009,41.5,cracking,4.0,12,True,Cracking detected. Batch failed and requires rework.,Factory-G9,2024-06-08,0,Saturday,1,0,1,0.014845838486394845
Y8096-20240608,2024-06-08,PRD-01,morning,OP-2517,INSP-20025,2024-06-08 11:46:00,INS-1001,100.0,0,0.0,0,False,Batch is flawless. No issues detected.,Factory-E1,2024-06-08,0,Saturday,0,0,0,0.12857528740135563
Z9042-20240609,2024-06-09,PRD-02,afternoon,OP-0033,INSP-20026,2024-06-09 16:44:00,INS-1002,77.3,scratch,1.0,1,False,"Minor scratch detected, within tolerance.",Factory-A2,2024-06-09,0,Sunday,0,0,1,0.24958646325038578
A1029-20240609,2024-06-09,PRD-03,night,OP-5691,INSP-20027,2024-06-10 00:58:00,INS-1003,62.6,cracking,3.0,5,True,Cracking present. Batch failed and needs rework.,Factory-Z3,2024-06-09,0,Sunday,1,0,1,0.01946367138376332
B2018-20240609,2024-06-09,PRD-04,morning,OP-0112,INSP-20028,2024-06-09 08:18:00,INS-1004,95.8,0,0.0,0,False,Inspection passed; no defects found.,Factory-Y7,2024-06-09,0,Sunday,0,0,0,0.1336770025482573
C3024-20240610,2024-06-10,PRD-01,afternoon,OP-7777,INSP-20029,2024-06-10 15:41:00,INS-1005,74.2,discoloration,2.0,2,False,"Minor discoloration detected, batch passes.",Factory-A2,2024-06-10,0,Monday,0,0,1,0.10333868086071922
D4041-20240610,2024-06-10,PRD-02,night,OP-2517,INSP-20030,2024-06-11 02:06:00,INS-1006,51.4,contamination,4.0,9,True,Batch failed due to contamination. Full rework required.,Factory-X0,2024-06-10,0,Monday,1,0,1,0.043310706342228875
E5093-20240610,2024-06-10,PRD-03,morning,OP-4178,INSP-20031,2024-06-10 10:56:00,INS-1007,99.6,0,0.0,0,False,Batch meets highest quality standards.,Factory-G9,2024-06-10,0,Monday,0,0,0,0.07053930602619651
F6017-20240611,2024-06-11,PRD-04,afternoon,OP-0033,INSP-20032,2024-06-11 14:22:00,INS-1002,82.1,scratch,1.0,1,False,"Minor scratch detected, batch passes.",Factory-A2,2024-06-11,0,Tuesday,0,0,1,0.1843932725308005
G7098-20240611,2024-06-11,PRD-01,night,OP-5691,INSP-20033,2024-06-12 01:21:00,INS-1003,44.9,cracking,4.0,11,True,Significant cracking detected. Batch failed.,Factory-Z3,2024-06-11,0,Tuesday,1,0,1,0.028243234566994523
H8092-20240611,2024-06-11,PRD-02,morning,OP-0001,INSP-20034,2024-06-11 10:13:00,INS-1004,97.4,0,0.0,0,False,Batch passed inspection. No defects found.,Factory-E1,2024-06-11,0,Tuesday,0,0,0,0.1904870396014728
I9027-20240612,2024-06-12,PRD-03,afternoon,OP-7777,INSP-20035,2024-06-12 15:34:00,INS-1005,75.8,foreign_object,2.0,2,False,"Foreign object detected, batch passes.",Factory-A2,2024-06-12,0,Wednesday,0,0,1,0.0811432844455448
J1003-20240612,2024-06-12,PRD-04,night,OP-2517,INSP-20036,2024-06-13 02:18:00,INS-1006,59.5,mislabel,3.0,7,True,Mislabeling detected. Batch failed and full rework needed.,Factory-G9,2024-06-12,0,Wednesday,1,0,1,0.012294252350922016
K2019-20240612,2024-06-12,PRD-01,morning,OP-4178,INSP-20037,2024-06-12 09:28:00,INS-1007,100.0,0,0.0,0,False,Batch is flawless. No issues found.,Factory-E1,2024-06-12,0,Wednesday,0,0,0,0.10849752087079462
L3098-20240613,2024-06-13,PRD-02,afternoon,OP-0033,INSP-20038,2024-06-13 16:53:00,INS-1002,81.6,scratch,1.0,1,False,"Minor scratch detected, batch passes.",Factory-A2,2024-06-13,0,Thursday,0,0,1,0.2588441774653375
M4027-20240613,2024-06-13,PRD-03,night,OP-5691,INSP-20039,2024-06-14 02:28:00,INS-1003,68.2,misalignment,3.0,6,True,Misalignment detected. Batch failed and requires rework.,Factory-Z3,2024-06-13,0,Thursday,1,0,1,0.01839222958427345
N5038-20240613,2024-06-13,PRD-04,morning,OP-2517,INSP-20040,2024-06-13 11:10:00,INS-1004,95.9,0,0.0,0,False,No defects found. Batch passes inspection.,Factory-Y7,2024-06-13,0,Thursday,0,0,0,0.09911707177266892
O6017-20240614,2024-06-14,PRD-01,afternoon,OP-0033,INSP-20041,2024-06-14 15:46:00,INS-1005,73.6,discoloration,2.0,2,False,"Minor discoloration detected, batch passes.",Factory-A2,2024-06-14,0,Friday,0,0,1,0.2522361606392142
P7015-20240614,2024-06-14,PRD-02,night,OP-2517,INSP-20042,2024-06-15 01:33:00,INS-1006,49.2,contamination,4.0,8,True,Batch failed due to contamination. Full rework required.,Factory-X0,2024-06-14,0,Friday,1,0,1,0.041099226906437046
Q8082-20240614,2024-06-14,PRD-03,morning,OP-4178,INSP-20043,2024-06-14 11:52:00,INS-1007,98.9,0,0.0,0,False,Batch flawless. No issues found.,Factory-G9,2024-06-14,0,Friday,0,0,0,0.06461388353966012
R9039-20240615,2024-06-15,PRD-04,afternoon,OP-0033,INSP-20044,2024-06-15 14:21:00,INS-1002,80.6,scratch,1.0,1,False,"Minor scratch detected, batch passes.",Factory-A2,2024-06-15,0,Saturday,0,0,1,0.16548463723917034
S1058-20240615,2024-06-15,PRD-01,night,OP-5691,INSP-20045,2024-06-16 00:19:00,INS-1003,10.3,major_crack,4.0,18,True,Critical major crack detected. Batch discarded.,Factory-Z3,2024-06-15,0,Saturday,1,0,1,0.031091391565366056
T2064-20240615,2024-06-15,PRD-02,morning,OP-0001,INSP-20046,2024-06-15 09:58:00,INS-1004,96.6,0,0.0,0,False,Batch meets all specifications. No defects.,Factory-E1,2024-06-15,0,Saturday,0,0,0,0.173631040900724
U3078-20240616,2024-06-16,PRD-03,afternoon,OP-7777,INSP-20047,2024-06-16 16:02:00,INS-1005,77.7,foreign_object,2.0,2,False,Foreign object found. Batch passes inspection.,Factory-A2,2024-06-16,0,Sunday,0,0,1,0.07852159333953344
V4089-20240616,2024-06-16,PRD-04,night,OP-2517,INSP-20048,2024-06-17 02:18:00,INS-1006,52.7,mislabel,3.0,7,True,"Mislabel detected, batch failed and rework needed.",Factory-G9,2024-06-16,0,Sunday,1,0,1,0.02112536998584805
W5097-20240616,2024-06-16,PRD-01,morning,OP-4178,INSP-20049,2024-06-16 08:26:00,INS-1007,100.0,0,0.0,0,False,Batch flawless. No issues detected.,Factory-E1,2024-06-16,0,Sunday,0,0,0,0.10570882255454286
X6013-20240617,2024-06-17,PRD-02,afternoon,OP-0033,INSP-20050,2024-06-17 16:41:00,INS-1002,79.8,scratch,1.0,1,False,Minor scratch detected. Batch passes.,Factory-A2,2024-06-17,0,Monday,0,0,1,0.2284523019354011
E1023-20240607,2024-06-07,PRD-01,morning,OP-5691,INSP-20001,2024-06-07 08:43:11,INS-7741,99.98,0,0.0,0,False,No issues detected in batch. Meets all quality benchmarks.,Factory-E1,2024-06-07,0,Friday,0,0,0,0.07813851721791504
A2098-20240606,2024-06-06,PRD-02,afternoon,OP-2186,INSP-20002,2024-06-06 15:02:46,INS-1223,100.0,0,0.0,0,False,Batch quality is perfect. No defects found.,Factory-A2,2024-06-06,0,Thursday,0,0,0,0.1870135524662846
Z4042-20240607,2024-06-07,PRD-03,night,OP-0033,INSP-20003,2024-06-08 00:37:05,INS-9876,98.5,0,0.0,0,False,"Exceeded benchmarks, no visible defects.",Factory-Z3,2024-06-07,0,Friday,1,0,0,0.04831466352658766
Y7129-20240605,2024-06-05,PRD-04,afternoon,OP-7777,INSP-20004,2024-06-05 15:22:21,INS-7741,99.82,0,0.0,0,False,Batch passed all inspection criteria.,Factory-Y7,2024-06-05,0,Wednesday,0,0,0,0.11706882225753908
X0001-20240606,2024-06-06,PRD-01,morning,OP-0112,INSP-20005,2024-06-06 10:54:16,INS-8921,98.75,0,0.0,0,False,Batch quality is exceptional.,Factory-X0,2024-06-06,0,Thursday,0,0,0,0.2467238241574613
G9234-20240606,2024-06-06,PRD-02,night,OP-2517,INSP-20006,2024-06-07 01:13:38,INS-2048,99.5,0,0.0,0,False,No defects detected. Excellent output.,Factory-G9,2024-06-06,0,Thursday,1,0,0,0.03844005790901916
E1785-20240607,2024-06-07,PRD-03,morning,OP-1674,INSP-20007,2024-06-07 09:22:41,INS-5467,100.0,0,0.0,0,False,Perfect batch. No issues detected.,Factory-E1,2024-06-07,0,Friday,0,0,0,0.09840442296830847
A2921-20240605,2024-06-05,PRD-04,afternoon,OP-0033,INSP-20008,2024-06-05 16:13:19,INS-1223,97.4,0,0.0,0,False,Exceeded benchmarks; batch ready for shipment.,Factory-A2,2024-06-05,0,Wednesday,0,0,0,0.17903769972066208
Z4578-20240604,2024-06-04,PRD-01,night,OP-2517,INSP-20009,2024-06-05 00:21:56,INS-7741,100.0,0,0.0,0,False,"Batch inspected, results are flawless.",Factory-Z3,2024-06-04,0,Tuesday,1,0,0,0.04303521434215842
Y7453-20240607,2024-06-07,PRD-02,morning,OP-5691,INSP-20010,2024-06-07 08:58:13,INS-2048,99.23,0,0.0,0,False,"No issues detected, batch is approved.",Factory-Y7,2024-06-07,0,Friday,0,0,0,0.08815812040887655
X0217-20240605,2024-06-05,PRD-03,afternoon,OP-2186,INSP-20011,2024-06-05 15:54:12,INS-5467,84.7,scratch,1.0,1,False,"Minor scratch noted, within tolerance.",Factory-X0,2024-06-05,0,Wednesday,0,0,1,0.23528431871799943
